ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Party?
P70,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P304,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y,democrat
P318,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P137,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,republican
P313,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P120,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P431,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
P51,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P218,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P405,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P54,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,democrat
P164,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
P118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,republican
P280,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P33,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
P237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,democrat
P252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,republican
P365,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,republican
P234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
P256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
P424,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
P107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,democrat
P194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P255,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
P376,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,democrat
P315,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,republican
P270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P66,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
P321,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,democrat
P347,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P277,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,republican
P72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,republican
P300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y,democrat
P411,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
P246,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,democrat
P101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,democrat
P140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
P421,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,republican
P29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
P167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,republican
P281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,democrat
P334,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,republican
P314,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,democrat
