ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
15,Never,Always,Never,Always,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,False
16,Never,Always,Sometimes,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Always,Always,Always,Sometimes,True
17,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,False
18,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,Always,Always,Sometimes,Always,Never,True
19,Sometimes,Never,Never,Always,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,False
20,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,True
21,Never,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,False
22,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,True
23,Sometimes,Always,Never,Never,Always,Never,Sometimes,Sometimes,Always,Always,Always,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
24,Never,Sometimes,Always,Never,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,True
25,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,False
26,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Always,Never,Never,Never,Sometimes,Sometimes,True
27,Sometimes,Always,Never,Never,Always,Always,Always,Always,Sometimes,Never,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,False
28,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,True
29,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,False
30,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Never,Never,Always,Never,True
31,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,False
32,Always,Never,Always,Always,Always,Sometimes,Always,Never,Sometimes,Never,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,True
33,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Never,False
34,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,True
35,Always,Always,Never,Never,Always,Always,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,False
36,Always,Always,Never,Never,Sometimes,Always,Never,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,True
37,Never,Sometimes,Never,Always,Sometimes,Always,Always,Never,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,Never,Always,Never,Sometimes,False
38,Sometimes,Always,Always,Always,Always,Never,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Never,Never,Never,Always,Never,Never,Always,True
39,Always,Always,Never,Never,Sometimes,Never,Never,Never,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Never,Sometimes,False
40,Never,Always,Sometimes,Never,Always,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Never,Sometimes,Never,True
41,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Always,Never,Sometimes,Always,Never,False
42,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,True
43,Always,Always,Never,Never,Never,Always,Always,Always,Always,Always,Always,Never,Never,Never,Sometimes,Always,Always,Always,Never,Never,False
44,Never,Always,Always,Never,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,True
45,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,Always,Always,Always,Always,Never,False
46,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,True
47,Always,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Never,Never,Never,Always,Sometimes,False
48,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,True
49,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Never,False
50,Always,Always,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,Never,Never,Never,Never,Sometimes,Always,Sometimes,Never,Never,Always,True
51,Sometimes,Always,Always,Never,Never,Never,Always,Never,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,False
52,Never,Never,Always,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Always,True
53,Never,Never,Never,Sometimes,Always,Never,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Never,False
54,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Always,Always,Never,True
55,Never,Sometimes,Never,Always,Always,Sometimes,Never,Never,Never,Sometimes,Always,Never,Never,Always,Always,Always,Never,Never,Always,Always,False
56,Never,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Sometimes,Never,True
57,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Never,Never,False
58,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,True
59,Never,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,False
60,Sometimes,Never,Sometimes,Always,Always,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Never,Always,True
61,Always,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Never,Always,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
62,Never,Never,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Never,Never,Always,True
63,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,False
64,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Never,Never,Always,Never,Never,Always,Sometimes,Always,Sometimes,True
65,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Always,False
66,Sometimes,Always,Never,Never,Always,Always,Sometimes,Always,Always,Never,Never,Sometimes,Always,Always,Always,Always,Always,Never,Sometimes,Always,True
67,Always,Always,Always,Never,Sometimes,Never,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,Never,Always,Always,Always,False
68,Always,Always,Always,Sometimes,Always,Never,Always,Always,Sometimes,Never,Never,Never,Always,Always,Never,Never,Never,Always,Never,Sometimes,True
69,Sometimes,Never,Always,Never,Never,Never,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Always,Always,Never,Always,Never,Sometimes,Never,False
70,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Always,Never,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Always,Never,Always,True
71,Never,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Always,Always,Always,Never,Never,Never,Sometimes,Always,Always,Sometimes,Sometimes,Never,False
72,Sometimes,Never,Always,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,True
73,Never,Always,Never,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Never,Always,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,False
74,Never,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,True
75,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,False
76,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,True
77,Always,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,False
78,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,True
79,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Never,Never,Always,Always,Never,Sometimes,False
80,Always,Sometimes,Never,Always,Never,Never,Sometimes,Never,Never,Never,Never,Always,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,True
81,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Always,Sometimes,Always,Never,Never,Sometimes,Always,Always,Sometimes,False
82,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,True
83,Never,Sometimes,Never,Sometimes,Never,Always,Never,Always,Never,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Never,Never,False
84,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,True
85,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Never,Never,False
86,Always,Always,Always,Sometimes,Never,Never,Always,Never,Never,Never,Never,Always,Never,Never,Sometimes,Never,Always,Never,Never,Never,True
87,Never,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Always,False
88,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Never,Never,True
89,Always,Never,Always,Never,Never,Always,Never,Never,Always,Never,Always,Sometimes,Always,Always,Always,Always,Never,Always,Never,Never,False
90,Sometimes,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Never,Always,Sometimes,Never,Always,Sometimes,Always,True
91,Never,Always,Never,Never,Never,Never,Never,Always,Always,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,False
92,Never,Always,Always,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Never,Never,Never,Sometimes,Sometimes,Always,Never,True
93,Always,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Always,Never,Always,Sometimes,Always,False
94,Always,Always,Sometimes,Always,Never,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Never,Always,Sometimes,Sometimes,Never,True
95,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Always,Never,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Always,False
96,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,True
97,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,False
98,Always,Always,Always,Never,Sometimes,Never,Always,Never,Always,Never,Never,Never,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Never,True
99,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,False
100,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,True
101,Never,Never,Never,Sometimes,Never,Always,Never,Sometimes,Always,Never,Always,Never,Always,Never,Always,Sometimes,Never,Always,Never,Sometimes,False
102,Always,Never,Never,Sometimes,Never,Always,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Never,True
103,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,False
104,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Always,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,True
105,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Never,Sometimes,Never,Never,Never,Sometimes,False
106,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,True
107,Sometimes,Always,Sometimes,Never,Always,Always,Never,Never,Always,Never,Always,Always,Always,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,False
108,Never,Always,Never,Always,Always,Never,Always,Sometimes,Always,Always,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,True
109,Always,Never,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,False
110,Never,Always,Never,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,True
111,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Sometimes,Always,False
112,Never,Always,Always,Sometimes,Sometimes,Never,Always,Never,Never,Never,Never,Sometimes,Never,Never,Never,Always,Always,Sometimes,Always,Sometimes,True
113,Never,Always,Never,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,False
114,Always,Never,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Always,Sometimes,Always,Sometimes,True
115,Always,Never,Always,Never,Sometimes,Always,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Always,False
116,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Always,Never,True
117,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,False
118,Always,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,True
119,Never,Always,Always,Always,Always,Never,Sometimes,Always,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,False
120,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,True
121,Always,Never,Always,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,False
122,Always,Always,Never,Never,Sometimes,Sometimes,Never,Always,Always,Never,Never,Sometimes,Never,Always,Never,Always,Sometimes,Never,Always,Always,True
123,Always,Never,Sometimes,Never,Never,Never,Never,Never,Never,Always,Never,Always,Sometimes,Never,Never,Always,Always,Always,Sometimes,Sometimes,False
124,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Sometimes,Always,Always,True
125,Always,Never,Always,Never,Always,Always,Never,Always,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,False
126,Never,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Always,Never,Always,Never,Always,Sometimes,True
127,Never,Never,Always,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Always,Always,Always,Sometimes,Never,Always,Never,Sometimes,Never,Never,False
128,Never,Always,Always,Never,Sometimes,Never,Always,Always,Always,Sometimes,Never,Never,Always,Never,Always,Always,Never,Sometimes,Always,Sometimes,True
129,Sometimes,Sometimes,Never,Never,Always,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,False
130,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Always,True
131,Sometimes,Always,Never,Never,Sometimes,Never,Always,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,False
132,Sometimes,Always,Never,Never,Sometimes,Never,Always,Sometimes,Always,Never,Never,Sometimes,Always,Always,Never,Sometimes,Always,Always,Always,Always,True
133,Always,Always,Always,Always,Never,Sometimes,Sometimes,Always,Never,Always,Always,Never,Never,Never,Always,Sometimes,Never,Never,Sometimes,Never,False
134,Always,Always,Always,Never,Sometimes,Never,Never,Sometimes,Always,Never,Never,Never,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,True
135,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Never,Always,False
136,Sometimes,Never,Sometimes,Always,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Never,Always,Never,Never,True
137,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Always,Always,Always,Never,Never,Always,Never,Sometimes,Always,Always,Never,False
138,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Always,Always,Never,True
139,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,False
140,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,True
141,Always,Never,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,Always,False
142,Always,Never,Never,Always,Never,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,Always,Always,True
143,Never,Never,Never,Always,Never,Always,Never,Always,Always,Always,Always,Always,Sometimes,Never,Never,Never,Never,Never,Always,Always,False
144,Sometimes,Sometimes,Always,Always,Never,Always,Always,Always,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,True
145,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Always,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,False
146,Never,Sometimes,Always,Never,Always,Always,Never,Never,Sometimes,Always,Sometimes,Always,Always,Never,Always,Never,Always,Always,Sometimes,Sometimes,True
147,Sometimes,Never,Never,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Always,Sometimes,Sometimes,Always,Always,Never,Never,False
148,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,True
149,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,False
150,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Always,Always,Sometimes,Always,Always,Always,Always,Never,Never,True
151,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Always,Always,Always,Sometimes,Never,Never,Never,Never,Always,Always,Never,Sometimes,False
152,Sometimes,Never,Always,Never,Always,Never,Always,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,True
153,Always,Never,Always,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Never,Always,Always,Never,False
154,Never,Never,Never,Sometimes,Always,Never,Sometimes,Never,Never,Always,Never,Never,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,True
155,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Never,False
156,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Always,Never,True
157,Always,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,False
158,Always,Never,Always,Never,Always,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Never,True
159,Sometimes,Always,Always,Sometimes,Always,Always,Never,Always,Always,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,False
160,Always,Always,Never,Sometimes,Always,Sometimes,Always,Never,Always,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,True
161,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,Never,Never,Never,Always,Always,Sometimes,Always,Never,Never,False
162,Never,Always,Always,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,True
163,Never,Always,Never,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,False
